Station,Date,Time,Pressure,RH,Temp,WD,WS,PREC,NO,NO2,NOX,O3,PM10,PM2.5
"תל אביב-יפו, אוניברסיטה",01/06/2023,01:00,,58.0,,102.0,0.9,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",01/06/2023,07:00,,47.0,,15.0,2.0,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",01/06/2023,13:00,,49.0,,11.0,8.2,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",01/06/2023,19:00,,29.0,,28.0,4.8,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",02/06/2023,01:00,,52.0,,12.0,2.3,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",02/06/2023,07:00,,36.0,,121.0,1.4,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",02/06/2023,13:00,,21.0,,246.0,2.7,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",02/06/2023,19:00,,58.0,,357.0,2.6,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",03/06/2023,01:00,,43.0,,15.0,0.3,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",03/06/2023,07:00,,80.0,,270.0,2.7,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",03/06/2023,13:00,,72.0,,321.0,4.2,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",03/06/2023,19:00,,80.0,,333.0,3.9,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",04/06/2023,01:00,,76.0,,327.0,1.1,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",04/06/2023,07:00,,70.0,,322.0,1.8,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",04/06/2023,13:00,,74.0,,345.0,6.0,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",04/06/2023,19:00,,78.0,,4.0,6.5,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",05/06/2023,01:00,,76.0,,322.0,1.2,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",05/06/2023,07:00,,75.0,,305.0,1.5,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",05/06/2023,13:00,,61.0,,328.0,4.0,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",05/06/2023,19:00,,73.0,,349.0,3.9,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",06/06/2023,01:00,,73.0,,345.0,1.7,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",06/06/2023,07:00,,69.0,,274.0,1.7,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",06/06/2023,13:00,,66.0,,332.0,5.3,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",06/06/2023,19:00,,79.0,,5.0,4.9,0.0,,,,,,
